Assemblies	final.contigs
Kosakonia_cowanii	33.288
Lactococcus_lactis_subsp._lactis_CV56	18.697
Leuconostoc_pseudomesenteroides_KCTC_3652	84.157
Pantoea_rwandensis	38.366
Pectobacterium_atrosepticum_CFBP_6276	18.995
Pectobacterium_parmentieri	10.682
Tatumella_morbirosei	53.583
Tatumella_punctata	16.211
