Assemblies	final.contigs
Kosakonia_cowanii	0.00
Lactococcus_lactis_subsp._lactis_CV56	0.00
Leuconostoc_pseudomesenteroides_KCTC_3652	0.00
Pantoea_rwandensis	0.00
Pectobacterium_atrosepticum_CFBP_6276	0.00
Pectobacterium_parmentieri	0.00
Tatumella_morbirosei	0.00
Tatumella_punctata	0.00
