Assemblies	final.contigs
Kosakonia_cowanii	7
Lactococcus_lactis_subsp._lactis_CV56	9
Leuconostoc_pseudomesenteroides_KCTC_3652	32
Pantoea_rwandensis	11
Pectobacterium_atrosepticum_CFBP_6276	17
Pectobacterium_parmentieri	4
Tatumella_morbirosei	19
Tatumella_punctata	8
