Assemblies	final.contigs
Kosakonia_cowanii	3389
Lactococcus_lactis_subsp._lactis_CV56	4705
Leuconostoc_pseudomesenteroides_KCTC_3652	63871
Pantoea_rwandensis	3425
Pectobacterium_atrosepticum_CFBP_6276	3095
Pectobacterium_parmentieri	2966
Tatumella_morbirosei	6306
Tatumella_punctata	2150
not_aligned	34772
